provision_id,provision,current_law,commission,council_st7322,parliament_t10_0098,agreed_pe789081,edpb_edps,status,extract
high-risk-dates,High-risk application dates (Art 6 / Annexes I+III),Annex III 2026-08-02; Annex I 2027-08-02,Conditional mechanism tied to standards availability (up to 16 months),Fixed dates: Annex III 2027-12-02; Annex I 2028-08-02,Fixed dates,Annex III 2027-12-02; Annex I 2028-08-02; safety-component definition narrowed,Keep timeline or minimise delay (not followed),Agreed,extracts/agreed/PE-789081_application-dates.md
prohibitions-art5,Nudifier/CSAM prohibition (Art 5),Not in AI Act Art 5,Not proposed,Added,Added (key EP mandate point),Three-limb ban; applies 2026-12-02; fines €35m/7%,—,Agreed (verify final wording),extracts/agreed/PE-789081_prohibitions-art5.md
ai-literacy-art4,AI literacy (Art 4),Binding ensure-sufficient-level duty (since 2025-02-02),Encouragement framework via Commission/Member States,Followed Commission,Restored duty at lowered standard,"Take measures to support the development" + no-guarantee clause + Commission/MS support (verified),—,Agreed (pending legal-linguistic revision),extracts/agreed/PE-789081_ai-literacy-art4.md
bias-data-art4a,Special-category data for bias detection (new Art 4a),"Strictly necessary" high-risk only (Art 10(5)),"Necessary"; all systems + deployers,Restored strict necessity,Restored strict necessity,Strict necessity; non-high-risk by exception; no detection duty,Restore strict necessity (followed),Agreed,extracts/agreed/PE-789081_bias-data-art4a.md
registration-art49,Registration of self-assessed non-high-risk systems (Art 49/Annex VIII),Registration required,Scrap the duty,Restored,Restored,Restored with simplified Annex VIII Section B,Keep registration (followed),Agreed,extracts/agreed/PE-789081_registration-art49-annexviii.md
transparency-art50,Watermarking transition (Art 50(2)),Applies 2026-08-02,Grace to 2027-02-02,—,Cut to ~3 months,4-month transition to 2026-12-02; other Art 50 duties unchanged,—,Agreed,extracts/agreed/PE-789081_transparency-art50.md
sandboxes-art57,Sandboxes / real-world testing (Art 57),National sandbox by 2026-08-02,Flexibility,—,—,Sandbox deadline 2027-08-02; testing broadened to Annex I; AI Office may establish EU sandbox (no date in text),—,Agreed,extracts/agreed/PE-789081_sandboxes-testing-art57.md
smc,SME reliefs extended to SMCs,SME accommodations,Extend simplified docs/QMS,—,—,Extended to small mid-caps (Recs 2003/361 + (EU) 2025/1099),—,Agreed,extracts/agreed/PE-789081_smc-simplifications.md
sectoral-annexi,Annex I sectoral interaction,Double conformity (AI Act + sectoral),Coherence adjustments,Defended sectoral routing,Delete Annex I Section A (failed),Machinery equivalence clause + delegated/implementing acts + guidance duty,—,Agreed (trilogue-breaker 2026-04-28; verify equivalence clause),extracts/agreed/PE-789081_sectoral-annexi-interaction.md
governance-art75,AI Office powers (Art 75),AI Office supervises GPAI models,—,—,—,Partly exclusive competence (same-provider GPAI systems; VLOPs/VLOSEs) + enforcement tools,—,Agreed,extracts/agreed/PE-789081_governance-aioffice-art75.md
aviation-2018-1139,Aviation Reg 2018/1139 (omnibus Art 2),No AI Act integration,Technical integration,—,—,Retained,—,Agreed,extracts/agreed/PE-789081_aviation-reg-2018-1139.md
